evolution$generation,gPopulation,gDiffusionRate,gEvaporationRate,food1,food2,food3,evolution$samples
906,186.31563002355134,99.0,13.868780912546397,163.0,462.0,774.0,1
906,166.94754260647906,29.23950967533899,9.357094906578505,209.0,322.0,707.0,3
906,229.8825914677627,18.55639681729506,3.7146951529181083,232.0,366.0,393.0,1
906,171.03250613032625,85.99743915057836,11.049734164035325,220.0,288.0,684.0,1
906,141.6585802695999,88.44606823871695,6.760001909465274,221.0,772.0,431.0,1
906,166.58679176489778,75.20409835758544,15.060076691784804,187.5,415.5,1467.5,2
906,179.97676942257115,73.14829638926825,17.4108881268441,179.5,528.5,1493.5,2
906,243.12087070732022,43.94302018758466,13.352462978663258,209.0,584.0,471.0,1
906,246.3587383408802,12.886286630027787,7.833711242272044,214.5,320.5,583.5,2
906,250.0,61.414170692512194,3.5441531202097942,241.0,340.0,453.0,1
906,213.5699279226396,19.33983761279342,4.354769434272313,214.5,361.5,450.0,2
906,213.74342223614508,49.75878789429113,9.881887878597153,178.0,468.0,592.0,1
906,163.638747125756,29.186744762768353,3.6911992534164844,300.0,322.0,504.0,1
906,200.97549715442054,12.820983363643517,4.899908306405026,197.5,335.0,505.5,2
906,249.63415748858907,28.5032703898453,2.5994449487268114,226.0,337.0,479.0,2
906,210.04242514241454,15.79857228241688,4.640175276538333,201.0,323.0,488.0,1
906,218.9651856435271,35.73950532719324,11.809773575714885,198.0,303.0,649.0,1
906,242.94424243080016,48.53262074178741,11.586089155953324,174.0,307.0,597.0,1
906,232.00485664109266,99.0,11.070644552158175,211.0,295.0,597.0,1
906,192.49010773666978,20.111051338058473,16.572179387900274,224.0,294.0,1513.0,1
906,199.5547465091132,49.638046560883396,20.84570074332751,185.0,394.0,2324.0,1
906,151.8560644335106,65.39645332751172,10.694720083878085,173.0,493.0,1013.0,1
906,208.58243319624776,19.949725831577858,12.01898041839763,234.0,654.0,435.0,1
906,218.84775000446464,62.900120499484295,3.872147852176882,220.0,348.0,503.0,1
906,204.6880146739886,13.55552061873496,12.573591066328055,230.0,485.0,478.0,1
906,203.60478658634295,16.074246924264155,5.728320059456373,193.0,346.0,722.0,1
906,243.9814512796441,63.48303830941365,21.046410344416365,219.0,486.0,1265.0,3
906,206.6150378569653,99.0,8.642299846303274,247.0,295.0,650.0,1
906,237.2716588588023,23.90001464026966,8.685548863134121,194.0,313.0,665.0,1
906,212.52893916739973,57.739647654632485,6.249110845812788,187.0,316.0,727.0,1
906,223.14202793120225,89.47173118768094,12.891903293721168,176.0,424.0,765.0,1
906,250.0,12.950258505750375,9.226401990451357,240.0,328.0,488.0,1
906,88.10021279509814,98.09156032472083,11.860095730603065,280.0,488.0,3285.0,3
906,160.93475610120984,75.5318256455649,20.759939849533676,237.0,528.0,2704.0,3
906,218.91808415153147,52.761718740536935,18.57569451793742,223.0,301.0,1039.0,1
906,168.3967982004425,52.15145277881583,17.37772148296998,182.0,428.0,2536.0,1
906,104.32377458597324,62.40990247889033,7.4276757802038205,302.0,331.0,976.5,2
906,198.49195485670182,83.72314290528811,10.82930195376765,185.0,581.0,607.0,1
906,185.99335125627252,36.025197120635646,6.742353443611794,190.0,332.0,755.0,1
906,196.55212958284167,82.66656249150293,12.875341055965894,206.0,310.0,667.0,1
906,196.0123066352306,80.53237213470304,5.896911904216699,191.0,324.0,738.0,1
906,169.63892933485957,56.92099368708626,10.681617083285865,189.0,531.0,649.0,1
906,218.3026832742055,54.71163820978604,11.64687720335317,204.0,317.0,682.0,1
906,161.1083857705822,87.18136412386797,13.226845728310659,183.0,463.0,1244.0,1
906,110.1351202134825,92.01184829997807,7.680050882581202,376.0,298.0,891.0,1
906,219.70339180107914,66.98469423989897,19.72086109108654,199.5,597.5,2239.0,2
906,236.4798706031133,62.79366725958695,16.337425201194044,222.0,315.0,654.0,1
906,170.96151325672167,62.93837232502521,5.953742919815806,195.0,322.0,780.0,1
