evolution$generation,gPopulation,gDiffusionRate,gEvaporationRate,food1,food2,food3,evolution$samples
793,88.10021279509814,98.09156032472083,11.860095730603065,280.0,488.0,3285.0,3
793,186.31563002355134,99.0,13.868780912546397,163.0,462.0,774.0,1
793,141.6585802695999,88.44606823871695,6.760001909465274,221.0,772.0,431.0,1
793,171.03250613032625,85.99743915057836,11.049734164035325,220.0,288.0,684.0,1
793,160.93475610120984,75.5318256455649,20.759939849533676,237.0,528.0,2704.0,3
793,166.58679176489778,75.20409835758544,15.060076691784804,187.5,415.5,1467.5,2
793,208.58243319624776,19.949725831577858,12.01898041839763,234.0,654.0,435.0,1
793,179.97676942257115,73.14829638926825,17.4108881268441,179.5,528.5,1493.5,2
793,250.0,61.414170692512194,3.5441531202097942,241.0,340.0,453.0,1
793,243.12087070732022,43.94302018758466,13.352462978663258,209.0,584.0,471.0,1
793,246.3587383408802,12.886286630027787,7.833711242272044,214.5,320.5,583.5,2
793,204.6880146739886,13.55552061873496,12.573591066328055,230.0,485.0,478.0,1
793,213.74342223614508,49.75878789429113,9.881887878597153,178.0,468.0,592.0,1
793,200.97549715442054,12.820983363643517,4.899908306405026,197.5,335.0,505.5,2
793,213.5699279226396,19.33983761279342,4.354769434272313,225.0,366.0,481.0,1
793,163.638747125756,29.186744762768353,3.6911992534164844,300.0,322.0,504.0,1
793,218.9651856435271,35.73950532719324,11.809773575714885,198.0,303.0,649.0,1
793,242.94424243080016,48.53262074178741,11.586089155953324,174.0,307.0,597.0,1
793,249.63415748858907,28.5032703898453,2.5994449487268114,226.0,337.0,479.0,2
793,210.04242514241454,15.79857228241688,4.640175276538333,201.0,323.0,488.0,1
793,232.00485664109266,99.0,11.070644552158175,211.0,295.0,597.0,1
793,192.49010773666978,20.111051338058473,16.572179387900274,224.0,294.0,1513.0,1
793,243.9814512796441,63.48303830941365,21.046410344416365,209.0,479.5,1328.5,2
793,199.5547465091132,49.638046560883396,20.84570074332751,185.0,394.0,2324.0,1
793,151.8560644335106,65.39645332751172,10.694720083878085,173.0,493.0,1013.0,1
793,104.32377458597324,62.40990247889033,7.4276757802038205,302.0,331.0,976.5,2
793,250.0,12.950258505750375,9.226401990451357,240.0,328.0,488.0,1
793,218.84775000446464,62.900120499484295,3.872147852176882,220.0,348.0,503.0,1
793,203.60478658634295,16.074246924264155,5.728320059456373,193.0,346.0,722.0,1
793,166.94754260647906,29.23950967533899,9.357094906578505,213.0,340.0,629.0,2
793,237.2716588588023,23.90001464026966,8.685548863134121,194.0,313.0,665.0,1
