evolution$generation,gPopulation,gDiffusionRate,gEvaporationRate,food1,food2,food3,evolution$samples
41,145.44117054071944,98.58675432067757,93.54890455962862,532.0,750.0,825.0,1
41,140.4175842252664,33.53846340144692,94.8442065084773,680.0,826.0,1217.0,1
41,38.158084513269856,95.70298133507583,15.452398365697816,448.0,4110.0,6742.0,1
41,218.15813113344203,92.48406060738091,56.37749696309299,335.0,877.0,1682.0,1
41,232.87141855258977,10.718823738022792,95.58468501080844,439.0,538.0,864.0,1
41,170.39546285377938,65.75334741219454,1.5769525094910382,249.0,499.0,649.0,1
41,104.32377458597324,62.40990247889033,7.4276757802038205,376.0,277.0,890.0,1
41,213.74342223614508,49.75878789429113,9.881887878597153,178.0,468.0,592.0,1
41,56.604251560626636,21.92813018458349,3.786787800124908,404.0,641.0,1487.0,1
41,74.73978406819484,91.53402111646487,51.00105489189188,1041.0,2042.0,3351.0,1
41,171.53625381784533,31.19134794326174,95.9153579374094,556.0,723.0,954.0,1
41,59.873273133843185,84.25130039825285,76.80553376455899,1370.0,1937.0,3127.0,1
41,164.8631510064307,36.620697061114484,73.63847806659764,674.0,810.0,1328.0,1
41,159.0150128066906,74.18479034160818,93.13886749604465,608.0,581.0,1416.0,1
41,150.84634267543368,67.01450225708683,45.42197083137296,610.0,1013.0,1716.0,1
41,33.13758580559234,55.412502875998115,0.42804259061438543,1843.0,2250.0,3183.0,1
41,166.94754260647906,29.23950967533899,9.357094906578505,197.0,358.0,540.0,1
41,112.98399870351919,15.445893520980018,80.05696833713762,602.0,1074.0,1597.0,1
41,213.5699279226396,19.33983761279342,4.354769434272313,225.0,366.0,481.0,1
41,56.51496978093043,29.340033494671918,84.8456735056689,1712.0,1751.0,2260.0,1
41,151.8560644335106,65.39645332751172,10.694720083878085,173.0,493.0,1013.0,1
41,96.25748950398419,30.76530517341832,62.58682520119059,966.0,1271.0,1951.0,1
41,158.80034806020262,27.637286691215074,42.63765813446798,433.0,1042.0,1371.0,1
41,59.65202913565059,20.427322581224868,90.65932100795324,1330.0,1552.0,2355.0,1
41,218.18662881707988,20.10716799216992,65.54046664312094,406.0,548.0,1063.0,1
41,219.32692954019151,44.23840807303388,32.94999050442966,250.0,802.0,1566.0,1
41,122.58280822113556,39.79931577866251,60.44338325888444,820.0,1027.0,1646.0,1
41,40.64657295300637,16.17704883029285,74.57200883816063,2032.0,2612.0,3727.0,1
41,226.0006563198675,64.41164620081484,30.435076657403293,207.0,766.0,1854.0,1
41,145.35161679372072,23.31030649613782,71.37319571099377,529.0,910.0,1283.0,1
41,44.89925022171906,35.289744385833984,76.54718162977912,2052.0,2771.0,3277.0,1
41,66.83603513008333,8.429932190948595,41.632432108106194,1209.0,1799.0,2452.0,1
41,131.6962048060166,69.12731112479767,27.782717051006422,239.0,1335.0,2938.0,1
41,189.13515762409043,38.39546365334199,37.71311671276244,571.0,1023.0,1758.0,1
41,215.27051792140276,27.62217795062893,16.776798674169775,250.0,447.0,1097.0,1
41,93.34122925965688,19.171443867721443,28.64234410974055,656.0,1429.0,2739.0,1
41,47.85120997658914,38.738107425495464,43.61251549658688,1579.0,2809.0,4023.0,1
41,30.53353971019881,31.31326501919268,35.44720000111143,2739.0,3419.0,5353.0,1
41,116.25249841696349,64.83366859662526,50.78932119166881,791.0,1334.0,2076.0,1
41,198.80822411999463,18.395820439368727,92.1070713031435,492.0,641.0,1067.0,1
41,247.60294032807403,5.862360791832396,20.551459622122984,301.0,389.0,822.0,1
